ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default,Meta: hwp_product_gtin
12749033_whinging-rissole_AJGW6,variation,12749033_whinging-rissole_AJGW6,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_xsplus_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone XS Max,,1,
12749033_whinging-rissole_BDRLC,variation,12749033_whinging-rissole_BDRLC,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_xs_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone XS,,1,
12749033_whinging-rissole_WG1HV,variation,12749033_whinging-rissole_WG1HV,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_x_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone X,,1,
12749033_whinging-rissole_YL5E9,variation,12749033_whinging-rissole_YL5E9,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_9_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone XR,,1,
12749033_whinging-rissole_1WCM9,variation,12749033_whinging-rissole_1WCM9,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_8plus_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 8 Plus,,1,
12749033_whinging-rissole_8DQ5H,variation,12749033_whinging-rissole_8DQ5H,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_8_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone SE (2020)/8,,1,
12749033_whinging-rissole_N8DNL,variation,12749033_whinging-rissole_N8DNL,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_7plus_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 7 Plus,,1,
12749033_whinging-rissole_JPM5T,variation,12749033_whinging-rissole_JPM5T,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_7_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 7,,1,
12749033_whinging-rissole_K9HR8,variation,12749033_whinging-rissole_K9HR8,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_6splus_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 6s Plus,,1,
12749033_whinging-rissole_W7XCW,variation,12749033_whinging-rissole_W7XCW,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_6s_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 6s,,1,
