ID,Title,URL,Src,Type,Style,Color,Size
,Easter Cross Chest Pocket Short Sleeve Casual  Shirt,https://www.hawalili.com/products/men-striped-casual-summer-polyester-lightweight-micro-elasticity-loose-short-sleeve-h-line-shirts-14816432?variant=3448615,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-15/O1CN0129VUBY1aQtiZN3MQN_-4134413325-0-cib-1671095955589.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-15/O1CN01Q3A0KC1aQtiiXq7td_-4134413325-0-cib-1671095955410.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-15/O1CN01DUKZaa1aQtiljXjqV_-4134413325-0-cib-1671095955669.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-12-15/O1CN01CSsrmz1aQtiiXs4Uu_-4134413325-0-cib-1671095955894.jpg,,,Red,"M,L,XL,XXL,3XL,4XL"
,Solid Color Multi-pocket Workwear Straight Waist Casual Shorts,https://www.hawalili.com/products/casual-plain-summer-zipper-natural-lightweight-no-elasticity-cargo-pants-shorts-shorts-for-men-15477614?variant=3785881,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-14/40db542db49c49a2c489b1764d2cd038.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-14/fbe9d1c1412dac34923f2b193c5a8434.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-14/af58dcbfd4a60896f9719514d26d6275.jpg,,,Apricot,"M,L,XL,XXL,3XL"
,Men's Coconut Tree Print Casual Fabric Fashion Hawaiian Lapel Short Sleeve Shirt,https://www.hawalili.com/products/men-s-coconut-tree-print-casual-fabric-fashion-hawaiian-lapel-short-sleeve-shirt-13651883?variant=2861831,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-05-31/def1cbcb705d1d5f871e03a028f6ee0c.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-05-31/9826faf050cf06a84e8461e33da667e6.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-05-31/6b8eeece5fa8ca35ec206fd0c7ee35e9.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/f888586a50952ce25646904e88322ce7.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/223e7a8196e025d78c1d352daa313592.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/69533670b1be75e53a1baf4bb39ea992.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/prod/images/9f94f1e61bb994ab9db20d0a30eeeb68.jpg,,,Yellow,"M,L,XL,XXL,3XL"
,Gradient Color Coconut Tree Chest Pocket Short Sleeve Hawaiian Shirt,https://www.hawalili.com/products/men-summer-coconut-tree-vacation-polyester-lightweight-loose-regular-h-line-shirt-collar-shirts-14456692?variant=3248524,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-10-26/a3ae8a2e6ee3f96bae8ee45e15b37314.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-10-26/80bc9dbbef847c6c0ab9be38bb512185.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-10-26/d5b027fdc4d8b5cc4de90d4df68862a0.jpg,,,Green,"M,L,XL,XXL,3XL,4XL"
,Men's Pocket Colorblock Geometric Print Casual Breathable Hawaiian Short Sleeve Shirt,https://www.hawalili.com/products/striped-casual-summer-polyester-lightweight-vacation-regular-fit-short-sleeve-regular-shirts-for-men-14130265?variant=3068645,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-08-09/O1CN01X6X0Kn1aQtgfEQLMG_-4134413325-0-cib-1660048319689.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-08-09/O1CN01TdJ4Xx1aQtgk5neXm_-4134413325-0-cib-1660048319184.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-08-09/O1CN01is76m71aQtgvxgYcy_-4134413325-0-cib-1660048319344.jpg,,,Black,"M,L,XL,XXL,3XL,4XL"
,Men's Casual Short Sleeve Hawaiian Shirt with Chest Pocket Print,https://www.hawalili.com/products/casual-color-block-summer-lightweight-daily-short-sleeve-regular-h-line-shirt-collar-shirts-for-men-14286924?variant=3143270,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-03/O1CN015JsnGC1aQthDvyhYR_-4134413325-0-cib-1662193095983.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-03/O1CN01y3OfrF1aQthDPJ3Jg_-4134413325-0-cib-1662193095342.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-03/O1CN01xAP7U81aQthK4UkkT_-4134413325-0-cib-1662193095405.jpg,,,Blue,"M,L,XL,XXL,3XL,4XL"
,Cinco De Mayo Skull Chest Pocket Short Sleeve Shirt,https://www.hawalili.com/products/casual-summer-skull-polyester-lightweight-loose-short-sleeve-regular-shirt-collar-shirts-for-men-14962687?variant=3498101,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-01-11/O1CN01yzfGir1aQtj0mClVR_-4134413325-0-cib-1673428972150.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-01-11/O1CN01jt6R9i1aQtj4mZKhY_-4134413325-0-cib-1673428972916.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-01-11/O1CN01LBztNS1aQtj9H6f8k_-4134413325-0-cib-1673428972331.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2023-01-11/O1CN01msKRIe1aQtj0rn75a_-4134413325-0-cib-1673428972522.jpg,,,Black,"M,L,XL,XXL,3XL,4XL"
,Men's Halloween Pumpkin Element Graphic Print Casual Vacation Beach Shorts,https://www.hawalili.com/products/men-s-halloween-pumpkin-element-graphic-print-casual-vacation-beach-shorts-13934929?variant=2979822,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-28/a2a0c90ea42c430e4a63951ed3b54653.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-29/498ca589b45f26d1ed142c5851801b18.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-06-29/d452554ee6e0af72f83a9e7bca9e2e53.png,,,Black,"L,XL,XXL"
,Mens Christmas Santa Print Front Buttons Soft Breathable Loose Lapel Chest Pocket Casual Hawaiian Shirt,https://www.hawalili.com/products/men-casual-summer-christmas-lightweight-daily-polyester-fibre-short-sleeve-h-line-shirt-collar-shirts-14286895?variant=3143139,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-05/74559876e1a2cf126839eadae997ca7e.jpeg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-05/46eaca26c2ce21e6c624df787002de74.png https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-09-05/dab6536c01933b71af1ace9fe992613e.jpg,,,Blue,"M,L,XL,XXL,3XL,4XL"
,Men's Casual Short Sleeve Hawaiian Shirt with Chest Pocket,https://www.hawalili.com/products/men-s-casual-short-sleeve-hawaiian-shirt-with-chest-pocket-15733234?variant=3931971,https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-08-16/330de20370268832dc50de3057fc34a7.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-08-16/2e05c9dc5f89a2f69cc26c44c4d9a722.jpg https://www.hawalili.com/image_cache/resize/670x890/image/catalog/product/2022-08-16/5ec523fffd7a63d7e2bbdbe0dd5a6d64.png,,,Gray,"M,L,XL,XXL,3XL,4XL"
